[2025-04-25 06:14:00] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:05:21] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:09:44] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:10:20] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:10:33] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:13:07] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:22:00] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:22:16] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:22:29] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:22:42] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:22:43] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:23:04] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:23:14] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:23:27] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:23:43] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:24:19] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:24:30] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:24:45] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:25:10] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:25:10] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:25:33] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:25:57] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:26:53] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:26:58] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:27:25] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:27:51] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:28:26] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:28:37] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:28:48] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:28:59] Player 67 is on boss tile, calling getMonsterListwithBoss
[2025-04-25 07:29:34] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:29:38] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:29:48] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:30:01] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:30:06] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:30:12] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:30:30] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:30:41] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:30:58] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:31:11] Player 67 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:31:21] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 07:31:40] Player 67 is NOT on boss tile, calling getMonsterList
